epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,435.874,0.82645,1.43158,1.30713,0.69382,0.61667,0.85836,0.59813,1.60237,1.29777,1.42346,1.11965e-05,1.11965e-05,1.11965e-05
40,445.853,0.92415,0.79871,1.42087,0.69382,0.61667,0.85836,0.59813,1.60237,1.29777,1.42346,1.05722e-05,1.05722e-05,1.05722e-05
41,456.116,0.68835,0.66168,1.06917,0.53346,0.62948,0.85782,0.57988,1.6114,1.29305,1.42887,9.9008e-06,9.9008e-06,9.9008e-06
42,465.837,0.58554,0.42859,1.04084,0.53346,0.62948,0.85782,0.57988,1.6114,1.29305,1.42887,9.18228e-06,9.18228e-06,9.18228e-06
43,475.965,0.5678,0.48821,1.16277,0.59476,0.69816,0.85363,0.57695,1.58151,1.26207,1.40952,8.41663e-06,8.41663e-06,8.41663e-06
44,485.594,0.52175,0.41037,0.92158,0.59476,0.69816,0.85363,0.57695,1.58151,1.26207,1.40952,7.60386e-06,7.60386e-06,7.60386e-06
45,495.475,0.51705,0.44399,0.97703,0.58003,0.7,0.85138,0.59599,1.56813,1.23846,1.40274,6.74397e-06,6.74397e-06,6.74397e-06
46,505.199,0.45253,0.50128,0.99812,0.58003,0.7,0.85138,0.59599,1.56813,1.23846,1.40274,5.83695e-06,5.83695e-06,5.83695e-06
47,515.925,0.47596,0.41007,1.00803,0.55175,0.86667,0.84986,0.59541,1.5598,1.22851,1.40107,4.88281e-06,4.88281e-06,4.88281e-06
48,525.79,0.47063,0.49929,0.91914,0.55175,0.86667,0.84986,0.59541,1.5598,1.22851,1.40107,3.88154e-06,3.88154e-06,3.88154e-06
49,536.91,0.4854,0.46488,0.96679,0.53533,0.86667,0.84982,0.5953,1.54135,1.22248,1.39116,2.83315e-06,2.83315e-06,2.83315e-06
50,551.005,0.53809,0.45361,1.07083,0.53533,0.86667,0.84982,0.5953,1.54135,1.22248,1.39116,1.73764e-06,1.73764e-06,1.73764e-06
